Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQH26	Long	2025-12-18  11:54:14.795	2025-12-18  12:00:18.524	25409.50	25378.25	1	8	6	-629.20	31588.60	AT_NQ_TM(D-R-2+last50)	8	2	00:06:03	4.20	25412.00	25378.25	3.5%	0.8%	33729.60	37815.00	-2030.00	50.00	-625.00	-1.6%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:54:14.795	2025-12-18  12:08:20.435	25409.50	25280.00	2	5	8	-5188.40	26400.20	AT_NQ_TM(D-R-2+last50)	8	3	00:14:05	8.40	25412.00	25280.00	4.5%	0.8%	28541.20	37915.00	-7210.00	100.00	-5180.00	-11.5%	V_sim16	33840.60	-2788.20	36628.80	-7440.40
NQH26	Long	2025-12-18  12:01:53.732	2025-12-18  12:08:20.435	25368.50	25280.00	1	5	3	-1774.20	24626.00	AT_NQ_TM(D-R-2+last50)	3	2	00:06:26	4.20	25377.75	25280.00	12.5%	11.5%	26767.00	34380.00	-6950.00	185.00	-1770.00	-4.3%	V_sim16	33840.60	-2788.20	36628.80	-9214.60
NQH26	Long	2025-12-18  12:04:14.168	2025-12-18  12:51:01.361	25356.50	25307.00	1	5	4	-994.20	23631.80	AT_NQ_TM(D-R-2+last50)	4	4	00:46:47	4.20	25358.75	25248.00	18.7%	14.7%	25772.80	34425.00	-9120.00	45.00	-2170.00	-2.3%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
NQH26	Long	2025-12-18  12:08:20.361	2025-12-18  12:51:01.361	25281.75	25307.00	1	5	5	500.80	24132.60	AT_NQ_TM(D-R-2+last50)	5	3	00:42:41	4.20	25307.00	25248.00	23.0%	34.3%	26273.60	34930.00	-9795.00	505.00	-675.00	1.1%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
NQH26	Long	2025-12-18  12:09:00.041	2025-12-18  12:51:01.361	25270.00	25307.00	1	5	3	735.80	24868.40	AT_NQ_TM(D-R-2+last50)	3	2	00:42:01	4.20	25307.00	25248.00	12.7%	37.3%	27009.40	28435.00	-3285.00	740.00	-440.00	2.3%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
NQH26	Long	2025-12-18  12:09:35.925	2025-12-18  13:03:19.707	25257.25	25320.50	1	5	4	1260.80	26129.20	AT_NQ_TM(D-R-2+last50)	4	4	00:53:43	4.20	25342.75	25248.00	14.1%	40.7%	28270.20	30145.00	-3470.00	1710.00	-185.00	3.8%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
NQH26	Long	2025-12-18  12:10:01.051	2025-12-18  13:03:19.707	25259.00	25320.50	1	5	5	1225.80	27355.00	AT_NQ_TM(D-R-2+last50)	5	3	00:53:18	4.20	25342.75	25259.00	13.3%	40.2%	29496.00	31820.00	-3470.00	1675.00	0.00	3.5%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
NQH26	Long	2025-12-18  12:58:32.545	2025-12-18  13:03:19.707	25342.75	25320.50	1	5	3	-449.20	26905.80	AT_NQ_TM(D-R-2+last50)	5	2	00:04:47	4.20	25342.75	25320.50	0.6%	18.3%	29046.80	30785.00	-630.00	0.00	-445.00	-1.4%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
NQH26	Long	2025-12-18  12:58:32.545	2025-12-18  13:43:35.581	25342.75	25381.00	2	5	5	1521.60	28427.40	AT_NQ_TM(D-R-2+last50)	5	3	00:45:03	8.40	25381.00	25317.25	9.3%	18.3%	30568.40	32315.00	-1650.00	1530.00	-1020.00	4.5%	V_sim16	33840.60	-2788.20	36628.80	-10208.80
