ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2025-12-18  02:26:26.748865	2025-12-18  02:26:26.748864	36782700	Limit	1	Pending Open	V_sim16	Sell	25044.25				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20091491	Close	Y	NQH26					0.00		20091491.45392	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.748878	2025-12-18  02:26:26.748877	36782700	Limit	1	Open	V_sim16	Sell	25044.25				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091491	Close	Y	NQH26					0.00	36782700	20091491.45392	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.748893	2025-12-18  02:26:26.748893	36782701	Limit	1	Pending Open	V_sim16	Sell	25050.50				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20091492	Close	Y	NQH26					0.00		20091492.28752	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.748907	2025-12-18  02:26:26.748906	36782701	Limit	1	Open	V_sim16	Sell	25050.50				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091492	Close	Y	NQH26					0.00	36782701	20091492.28752	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.748923	2025-12-18  02:26:26.748922	36782702	Limit	1	Pending Open	V_sim16	Sell	25090.50				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20091493	Close	Y	NQH26					0.00		20091493.88708	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.748936	2025-12-18  02:26:26.748935	36782702	Limit	1	Open	V_sim16	Sell	25090.50				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091493	Close	Y	NQH26					0.00	36782702	20091493.88708	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.896446	2025-12-18  02:26:26.896427		Market	3	Order Sent	V_sim16	Buy					Tag: AT_NQ_TM(D-R-2+last50)		Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50)	36782689	Open	Y	NQH26					0.00			Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.896578	2025-12-18  02:26:26.896574	36782689	Market	3	Open	V_sim16	Buy					Tag: AT_NQ_TM(D-R-2+last50)		Simulated order accepted	36782689	Open	Y	NQH26					0.00			Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.896612	2025-12-18  02:26:26.896605	36782689	Market	3	Filled	V_sim16	Buy			25039.00	3	Tag: AT_NQ_TM(D-R-2+last50)		Trade simulation fill. Bid: 25038.00 Ask: 25039.00 Last: 25038.75	36782689	Open	Y	NQH26					0.00			Good till Canceled	shimishon
Orders	2025-12-18  02:26:27.258170	2025-12-18  02:26:27.258164		Stop Limit	3	Order Sent	V_sim16	Sell	25017.75	25007.75			Tag: AT_NQ_TM(D-R-2+last50)	3	Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50)	36782699	Close	Y	NQH26					0.00			Good till Canceled	shimishon
