Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Account	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Open Position Quantity	Close Position Quantity	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
CLF26	Short	2025-12-03  10:09:35.000	2025-12-03  10:11:42.000	59.17	59.25	2	4	3	-168.40	-4257.00	00:02:07	8.40	59.27	59.17	79.3%	IPS_TM_5dupli	48.0%	-928.80	30.00	-930.01	0.00	-200.00	AutoTrader_	-17.5%	4	1	0.00	-4257.00	257.40	-4257.00
CLF26	Short	2025-12-03  10:09:35.000	2025-12-03  10:26:29.000	59.17	59.18	1	4	4	-14.20	-4271.20	00:16:54	4.20	59.27	59.17	95.8%	IPS_TM_5dupli	48.0%	-943.00	30.00	-1030.01	0.00	-100.00	AutoTrader_	-1.3%	4	3	0.00	-4271.20	257.40	-4271.20
CLF26	Short	2025-12-03  10:22:02.000	2025-12-03  10:30:00.000	59.25	59.11	1	4	2	135.80	-4135.40	00:07:58	4.20	59.27	59.09	97.9%	IPS_TM_5dupli	80.0%	-807.20	160.00	-990.00	160.00	-20.00	AutoTrader_	11.8%	4	2	0.00	-4271.20	257.40	-4271.20
CLF26	Short	2025-12-03  10:22:02.000	2025-12-03  10:30:32.000	59.25	59.23	1	4	3	15.80	-4119.60	00:08:30	4.20	59.27	59.09	77.1%	IPS_TM_5dupli	80.0%	-791.40	320.00	-1010.01	160.00	-20.00	AutoTrader_	1.2%	4	1	0.00	-4271.20	257.40	-4271.20
CLF26	Short	2025-12-03  10:22:02.000	2025-12-03  10:30:32.000 EP	59.25	59.23	1	4	4	15.80	-4103.80	00:08:30	4.20	59.27	59.09	69.3%	IPS_TM_5dupli	80.0%	-775.60 F	480.00	-1030.01	160.00	-20.00	AutoTrader_	1.0%	4	0	0.00	-4271.20	257.40	-4271.20
CLF26	Long	2025-12-03  10:30:32.000 BP	2025-12-03  10:30:36.000	59.23	59.30	1	2	1	65.80	-4038.00	00:00:04	4.20	59.30	59.23	94.0%	IPS_TM_5dupli	100.0%	65.80	70.00	0.00	70.00	0.00	AutoTrader_	94.0%	2	1	0.00	-4271.20	257.40	-4271.20
CLF26	Long	2025-12-03  10:30:32.000	2025-12-03  10:30:58.000 EP	59.23	59.27	1	2	2	35.80	-4002.20	00:00:26	4.20	59.37	59.23	17.0%	IPS_TM_5dupli	100.0%	101.60 F	210.00	0.00	140.00	0.00	AutoTrader_	17.0%	2	0	0.00	-4271.20	269.00	-4271.20
CLF26	Short	2025-12-03  10:30:58.000 BP	2025-12-03  10:35:39.000	59.27	59.31	1	4	1	-44.20	-4046.40	00:04:41	4.20	59.32	59.18	4.1%	IPS_TM_5dupli	0.0%	-44.20	90.00	-50.00	90.00	-50.00	AutoTrader_	-31.6%	1	3	0.00	-4271.20	269.00	-4271.20
CLF26	Short	2025-12-03  10:32:04.000	2025-12-03  10:35:39.000	59.22	59.31	2	4	3	-188.40	-4234.80	00:03:35	8.40	59.32	59.18	14.7%	IPS_TM_5dupli	0.0%	-232.60	170.00	-250.00	80.00	-200.00	AutoTrader_	-44.9%	4	1	0.00	-4271.20	269.00	-4271.20
CLF26	Short	2025-12-03  10:32:04.000	2025-12-03  10:35:39.000 EP	59.22	59.31	1	4	4	-94.20	-4329.00	00:03:35	4.20	59.32	59.18	45.7%	IPS_TM_5dupli	0.0%	-326.80 F	209.99	-350.00	40.00	-100.00	AutoTrader_	-16.8%	4	0	0.00	-4329.00	269.00	-4329.00
CLF26	Long	2025-12-03  10:35:39.000 BP	2025-12-03  10:40:03.000 EP	59.31	59.30	2	2	2	-28.40	-4357.40	00:04:24	8.40	59.38	59.28	15.8%	IPS_TM_5dupli	100.0%	-28.40 F	140.00	-60.00	140.00	-60.00	AutoTrader_	-14.2%	2	0	0.00	-4357.40	269.00	-4357.40
CLF26	Short	2025-12-03  10:40:03.000 BP	2025-12-03  10:49:47.000	59.30	59.39	1	4	1	-94.20	-4451.60	00:09:44	4.20	59.40	59.26	4.1%	IPS_TM_5dupli	20.0%	-94.20	40.00	-100.00	40.00	-100.00	AutoTrader_	-67.3%	1	3	0.00	-4451.60	269.00	-4451.60
CLF26	Short	2025-12-03  10:40:03.000	2025-12-03  10:49:47.000	59.30	59.39	2	4	3	-188.40	-4640.00	00:09:44	8.40	59.40	59.26	26.6%	IPS_TM_5dupli	20.0%	-282.60	120.00	-300.00	80.00	-200.00	AutoTrader_	-44.9%	4	1	0.00	-4640.00	269.00	-4640.00
CLF26	Short	2025-12-03  10:40:03.000	2025-12-03  10:58:37.000	59.30	59.52	1	4	4	-224.20	-4864.20	00:18:34	4.20	59.52	59.26	43.5%	IPS_TM_5dupli	20.0%	-506.80	160.00	-520.00	40.00	-220.00	AutoTrader_	-33.0%	4	3	0.00	-4864.20	269.00	-4864.20
